Sequence1,Sequence2,LCS_Length
1,2,1392
1,3,1369
1,4,1371
1,5,1362
1,6,1365
1,7,1
1,8,1404
1,9,1337
1,10,1507
1,11,1294
1,12,1345
1,13,1340
1,14,1349
1,15,1426
1,16,1355
1,17,1435
1,18,1420
1,19,1423
1,20,1430
1,21,1222
1,22,1280
1,23,1220
1,24,1278
1,25,1264
1,26,1351
1,27,1352
1,28,1385
1,29,1433
1,30,1248
1,31,1369
1,32,1327
1,33,1234
1,34,1407
1,35,1282
1,36,1379
1,37,1340
1,38,1337
1,39,1346
1,40,1345
1,41,1343
1,42,1337
1,43,1331
1,44,1302
1,45,1296
1,46,1300
1,47,1260
1,48,1249
1,49,1389
1,50,1246
1,51,1253
1,52,1371
1,53,1430
1,54,1472
1,55,1390
1,56,1382
1,57,1328
1,58,1391
1,59,1356
1,60,1356
1,61,1303
1,62,1284
1,63,3
1,64,1297
1,65,1283
1,66,1288
1,67,1292
1,68,1296
1,69,1
1,70,1
1,71,1
1,72,1302
1,73,1296
1,74,1275
1,75,1
1,76,1284
1,77,1
1,78,1221
1,79,1288
1,80,1288
1,81,1310
1,82,1295
1,83,1292
1,84,1
1,85,3
1,86,1
1,87,1
1,88,1293
1,89,1
1,90,1
1,91,1
1,92,1
1,93,1
1,94,1
1,95,1
1,96,1
1,97,1
1,98,1
1,99,1
1,100,1
1,101,1
1,102,1
1,103,1
1,104,1
1,105,1
1,106,1
1,107,1
1,108,1
1,109,1
1,110,1
1,111,1
1,112,1
1,113,1
1,114,1
1,115,1
1,116,1
1,117,1
1,118,1
1,119,1
1,120,1
1,121,1
1,122,1
1,123,1
1,124,1
1,125,1
1,126,1
1,127,1
1,128,1
1,129,1
1,130,1
1,131,1
1,132,1
1,133,1
1,134,1
1,135,1
1,136,1
1,137,1
1,138,1
1,139,1
1,140,1
1,141,1
1,142,1
1,143,1
1,144,1
1,145,1
1,146,1
1,147,1
1,148,1
1,149,1
1,150,1
1,151,1
1,152,1
1,153,1
1,154,1
1,155,1
1,156,1
1,157,1
1,158,1
1,159,3
1,160,1
1,161,1
1,162,1
1,163,1
1,164,1
1,165,1
1,166,1
1,167,1
1,168,1
1,169,1
1,170,1
1,171,1
1,172,1
1,173,1
1,174,1
1,175,1
1,176,1
1,177,1
1,178,1
1,179,1
1,180,1
1,181,1
2,3,1373
2,4,1375
2,5,1353
2,6,1370
2,7,1
2,8,1382
2,9,1270
2,10,1389
2,11,1288
2,12,1329
2,13,1326
2,14,1320
2,15,1467
2,16,1341
2,17,1383
2,18,1376
2,19,1379
2,20,1404
2,21,1217
2,22,1260
2,23,1214
2,24,1259
2,25,1258
2,26,1340
2,27,1342
2,28,1375
2,29,1397
2,30,1232
2,31,1360
2,32,1324
2,33,1225
2,34,1372
2,35,1285
2,36,1373
2,37,1343
2,38,1334
2,39,1342
2,40,1340
2,41,1346
2,42,1326
2,43,1317
2,44,1301
2,45,1300
2,46,1303
2,47,1265
2,48,1258
2,49,1371
2,50,1254
2,51,1260
2,52,1375
2,53,1408
2,54,1404
2,55,1372
2,56,1342
2,57,1302
2,58,1391
2,59,1349
2,60,1352
2,61,1309
2,62,1289
2,63,3
2,64,1305
2,65,1288
2,66,1292
2,67,1298
2,68,1303
2,69,1
2,70,1
2,71,1
2,72,1306
2,73,1298
2,74,1272
2,75,1
2,76,1283
2,77,1
2,78,1218
2,79,1279
2,80,1286
2,81,1294
2,82,1295
2,83,1281
2,84,1
2,85,3
2,86,1
2,87,1
2,88,1301
2,89,1
2,90,1
2,91,1
2,92,1
2,93,1
2,94,1
2,95,1
2,96,1
2,97,1
2,98,1
2,99,1
2,100,1
2,101,1
2,102,1
2,103,1
2,104,1
2,105,1
2,106,1
2,107,1
2,108,1
2,109,1
2,110,1
2,111,1
2,112,1
2,113,1
2,114,1
2,115,1
2,116,1
2,117,1
2,118,1
2,119,1
2,120,1
2,121,1
2,122,1
2,123,1
2,124,1
2,125,1
2,126,1
2,127,1
2,128,1
2,129,1
2,130,1
2,131,1
2,132,1
2,133,1
2,134,1
2,135,1
2,136,1
2,137,1
2,138,1
2,139,1
2,140,1
2,141,1
2,142,1
2,143,1
2,144,1
2,145,1
2,146,1
2,147,1
2,148,1
2,149,1
2,150,1
2,151,1
2,152,1
2,153,1
2,154,1
2,155,1
2,156,1
2,157,1
2,158,1
2,159,3
2,160,1
2,161,1
2,162,1
2,163,1
2,164,1
2,165,1
2,166,1
2,167,1
2,168,1
2,169,1
2,170,1
2,171,1
2,172,1
2,173,1
2,174,1
2,175,1
2,176,1
2,177,1
2,178,1
2,179,1
2,180,1
2,181,1
3,4,1483
3,5,1383
3,6,1415
3,7,1
3,8,1393
3,9,1246
3,10,1373
3,11,1315
3,12,1362
3,13,1359
3,14,1350
3,15,1377
3,16,1331
3,17,1365
3,18,1353
3,19,1356
3,20,1406
3,21,1247
3,22,1289
3,23,1240
3,24,1287
3,25,1286
3,26,1330
3,27,1333
3,28,1365
3,29,1359
3,30,1226
3,31,1353
3,32,1328
3,33,1240
3,34,1397
3,35,1300
3,36,1390
3,37,1361
3,38,1363
3,39,1359
3,40,1365
3,41,1362
3,42,1359
3,43,1348
3,44,1408
3,45,1383
3,46,1387
3,47,1304
3,48,1289
3,49,1379
3,50,1286
3,51,1294
3,52,1483
3,53,1409
3,54,1372
3,55,1378
3,56,1321
3,57,1329
3,58,1367
3,59,1348
3,60,1347
3,61,1391
3,62,1321
3,63,3
3,64,1396
3,65,1323
3,66,1328
3,67,1384
3,68,1383
3,69,1
3,70,1
3,71,1
3,72,1336
3,73,1329
3,74,1305
3,75,1
3,76,1321
3,77,1
3,78,1252
3,79,1311
3,80,1323
3,81,1322
3,82,1331
3,83,1311
3,84,1
3,85,3
3,86,1
3,87,1
3,88,1331
3,89,1
3,90,1
3,91,1
3,92,1
3,93,1
3,94,1
3,95,1
3,96,1
3,97,1
3,98,1
3,99,1
3,100,1
3,101,1
3,102,1
3,103,1
3,104,1
3,105,1
3,106,1
3,107,1
3,108,1
3,109,1
3,110,1
3,111,1
3,112,1
3,113,1
3,114,1
3,115,1
3,116,1
3,117,1
3,118,1
3,119,1
3,120,1
3,121,1
3,122,1
3,123,1
3,124,1
3,125,1
3,126,1
3,127,1
3,128,1
3,129,1
3,130,1
3,131,1
3,132,1
3,133,1
3,134,1
3,135,1
3,136,1
3,137,1
3,138,1
3,139,1
3,140,1
3,141,1
3,142,1
3,143,1
3,144,1
3,145,1
3,146,1
3,147,1
3,148,1
3,149,1
3,150,1
3,151,1
3,152,1
3,153,1
3,154,1
3,155,1
3,156,1
3,157,1
3,158,1
3,159,3
3,160,1
3,161,1
3,162,1
3,163,1
3,164,1
3,165,1
3,166,1
3,167,1
3,168,1
3,169,1
3,170,1
3,171,1
3,172,1
3,173,1
3,174,1
3,175,1
3,176,1
3,177,1
3,178,1
3,179,1
3,180,1
3,181,1
4,5,1386
4,6,1416
4,7,1
4,8,1394
4,9,1248
4,10,1375
4,11,1314
4,12,1363
4,13,1360
4,14,1351
4,15,1379
4,16,1333
4,17,1366
4,18,1355
4,19,1358
4,20,1408
4,21,1248
4,22,1290
4,23,1241
4,24,1288
4,25,1287
4,26,1332
4,27,1335
4,28,1364
4,29,1360
4,30,1227
4,31,1353
4,32,1330
4,33,1242
4,34,1398
4,35,1302
4,36,1393
4,37,1362
4,38,1362
4,39,1358
4,40,1364
4,41,1363
4,42,1360
4,43,1349
4,44,1409
4,45,1384
4,46,1388
4,47,1305
4,48,1290
4,49,1379
4,50,1287
4,51,1295
4,52,1486
4,53,1410
4,54,1374
4,55,1381
4,56,1323
4,57,1330
4,58,1370
4,59,1351
4,60,1348
4,61,1392
4,62,1324
4,63,3
4,64,1395
4,65,1324
4,66,1329
4,67,1385
4,68,1384
4,69,1
4,70,1
4,71,1
4,72,1339
4,73,1332
4,74,1308
4,75,1
4,76,1322
4,77,1
4,78,1253
4,79,1314
4,80,1324
4,81,1325
4,82,1332
4,83,1314
4,84,1
4,85,3
4,86,1
4,87,1
4,88,1334
4,89,1
4,90,1
4,91,1
4,92,1
4,93,1
4,94,1
4,95,1
4,96,1
4,97,1
4,98,1
4,99,1
4,100,1
4,101,1
4,102,1
4,103,1
4,104,1
4,105,1
4,106,1
4,107,1
4,108,1
4,109,1
4,110,1
4,111,1
4,112,1
4,113,1
4,114,1
4,115,1
4,116,1
4,117,1
4,118,1
4,119,1
4,120,1
4,121,1
4,122,1
4,123,1
4,124,1
4,125,1
4,126,1
4,127,1
4,128,1
4,129,1
4,130,1
4,131,1
4,132,1
4,133,1
4,134,1
4,135,1
4,136,1
4,137,1
4,138,1
4,139,1
4,140,1
4,141,1
4,142,1
4,143,1
4,144,1
4,145,1
4,146,1
4,147,1
4,148,1
4,149,1
4,150,1
4,151,1
4,152,1
4,153,1
4,154,1
4,155,1
4,156,1
4,157,1
4,158,1
4,159,3
4,160,1
4,161,1
4,162,1
4,163,1
4,164,1
4,165,1
4,166,1
4,167,1
4,168,1
4,169,1
4,170,1
4,171,1
4,172,1
4,173,1
4,174,1
4,175,1
4,176,1
4,177,1
4,178,1
4,179,1
4,180,1
4,181,1
5,6,1392
5,7,1
5,8,1380
5,9,1240
5,10,1364
5,11,1295
5,12,1336
5,13,1331
5,14,1329
5,15,1357
5,16,1325
5,17,1374
5,18,1360
5,19,1363
5,20,1389
5,21,1226
5,22,1266
5,23,1218
5,24,1263
5,25,1261
5,26,1324
5,27,1327
5,28,1340
5,29,1357
5,30,1210
5,31,1330
5,32,1319
5,33,1229
5,34,1371
5,35,1293
5,36,1377
5,37,1343
5,38,1340
5,39,1343
5,40,1343
5,41,1344
5,42,1334
5,43,1322
5,44,1314
5,45,1306
5,46,1309
5,47,1280
5,48,1269
5,49,1372
5,50,1265
5,51,1273
5,52,1386
5,53,1390
5,54,1370
5,55,1363
5,56,1318
5,57,1310
5,58,1360
5,59,1340
5,60,1335
5,61,1312
5,62,1309
5,63,3
5,64,1307
5,65,1308
5,66,1311
5,67,1305
5,68,1306
5,69,1
5,70,1
5,71,1
