Sequence1,Sequence2,Time_Seconds
1,2,0.096739
1,3,0.084522
1,4,0.092138
1,5,0.095654
1,6,0.092629
1,7,0.093725
1,8,0.078107
1,9,0.095163
1,10,0.09453
1,11,0.078381
1,12,0.096667
1,13,0.092669
1,14,0.109002
1,15,0.080393
1,16,0.093693
1,17,0.125478
1,18,0.125022
1,19,0.126096
1,20,0.078133
1,21,0.094003
1,22,0.078671
1,23,0.078106
1,24,0.078468
1,25,0.101125
1,26,0.072187
1,27,0.094114
1,28,0.078364
1,29,0.093829
1,30,0.078148
1,31,0.094547
1,32,0.0787
1,33,0.078067
1,34,0.109879
1,35,0.078374
1,36,0.097237
1,37,0.091988
1,38,0.078717
1,39,0.093687
1,40,0.094091
1,41,0.078425
1,42,0.078582
1,43,0.094591
1,44,0.08335
1,45,0.090271
1,46,0.09451
1,47,0.094123
1,48,0.078106
1,49,0.141952
1,50,0.078899
1,51,0.078448
1,52,0.078146
1,53,0.095579
1,54,0.077023
1,55,0.12808
1,56,0.079968
1,57,0.09262
1,58,0.094497
1,59,0.078342
1,60,0.076998
1,61,0.095102
1,62,0.078841
1,63,0.078146
1,64,0.078109
1,65,0.082135
1,66,0.090559
1,67,0.087228
1,68,0.086223
1,69,0.062528
1,70,0.109447
1,71,0.078108
1,72,0.078232
1,73,0.094493
1,74,0.078549
1,75,0.078586
1,76,0.093762
1,77,0.062488
1,78,0.078104
1,79,0.094349
1,80,0.086047
1,81,0.087195
1,82,0.093933
1,83,0.078346
1,84,0.078106
1,85,0.078107
1,86,0.080714
1,87,0.077049
1,88,0.094271
1,89,0.078108
1,90,0.078106
1,91,0.078556
1,92,0.064233
1,93,0.085135
1,94,0.070215
1,95,0.078108
1,96,0.093965
1,97,0.062487
1,98,0.078104
1,99,0.09369
1,100,0.070458
1,101,0.087685
1,102,0.062998
1,103,0.078237
1,104,0.046904
1,105,0.046865
1,106,0.031243
1,107,0.031241
1,108,0.031242
1,109,0.047118
1,110,0.056546
1,111,0.038253
1,112,0.046864
1,113,0.066635
1,114,0.027532
1,115,0.047161
1,116,0.031244
1,117,0.046826
1,118,0.046864
1,119,0.046864
1,120,0.031243
1,121,0.046749
1,122,0.047864
1,123,0.031497
1,124,0.015622
1,125,0
1,126,0.017408
1,127,0.014005
1,128,0
1,129,0.046917
1,130,0.031247
1,131,0.046864
1,132,0.031243
1,133,0.031243
1,134,0.046864
1,135,0.047189
1,136,0.04751
1,137,0.046868
1,138,0.049805
1,139,0.03214
1,140,0.044827
1,141,0.032893
1,142,0.045288
1,143,0.047303
1,144,0.047383
1,145,0.031283
1,146,0.046863
1,147,0.046866
1,148,0.03124
1,149,0.046827
1,150,0.046901
1,151,0.047569
1,152,0.047817
1,153,0.031247
1,154,0.031331
1,155,0.015664
1,156,0.03124
1,157,0.078106
1,158,0.048529
1,159,0.04544
1,160,0.046905
1,161,0.062484
1,162,0.031242
1,163,0.032045
1,164,0.023928
1,165,0.054928
1,166,0.015621
1,167,0.033099
1,168,0.029669
1,169,0.078846
1,170,0.031249
1,171,0.015621
1,172,0.031242
1,173,0.031243
1,174,0.015623
1,175,0.031733
1,176,0.046869
1,177,0.031242
1,178,0.03124
1,179,0.015622
1,180,0.040337
1,181,0.023575
2,3,0.07811
2,4,0.094175
2,5,0.078119
2,6,0.078277
2,7,0.093727
2,8,0.10214
2,9,0.087194
2,10,0.093388
2,11,0.078108
2,12,0.078296
2,13,0.078108
2,14,0.094162
2,15,0.079056
2,16,0.078106
2,17,0.109351
2,18,0.124969
2,19,0.109352
2,20,0.094813
2,21,0.079024
2,22,0.078287
2,23,0.07811
2,24,0.078103
2,25,0.080067
2,26,0.09325
2,27,0.078146
2,28,0.078313
2,29,0.109312
2,30,0.078106
2,31,0.093728
2,32,0.079041
2,33,0.078791
2,34,0.094759
2,35,0.078103
2,36,0.079191
2,37,0.078448
2,38,0.078109
2,39,0.095484
2,40,0.078147
2,41,0.078374
2,42,0.078149
2,43,0.093727
2,44,0.078316
2,45,0.079086
2,46,0.094623
2,47,0.078212
2,48,0.078107
2,49,0.109347
2,50,0.078107
2,51,0.08609
2,52,0.072115
2,53,0.093729
2,54,0.093728
2,55,0.07978
2,56,0.076569
2,57,0.093968
2,58,0.094927
2,59,0.078811
2,60,0.093763
2,61,0.078995
2,62,0.078392
2,63,0.078108
2,64,0.079344
2,65,0.078203
2,66,0.078679
2,67,0.078148
2,68,0.094041
2,69,0.078106
2,70,0.078351
2,71,0.087773
2,72,0.071543
2,73,0.078109
2,74,0.093691
2,75,0.078142
2,76,0.07825
2,77,0.11045
2,78,0.078285
2,79,0.078596
2,80,0.078108
2,81,0.078106
2,82,0.078109
2,83,0.078974
2,84,0.094446
2,85,0.062486
2,86,0.094072
2,87,0.078107
2,88,0.078106
2,89,0.088328
2,90,0.089492
2,91,0.094226
2,92,0.08555
2,93,0.090414
2,94,0.11398
2,95,0.117323
2,96,0.19846
2,97,0.106603
2,98,0.097583
2,99,0.090231
2,100,0.082313
2,101,0.07714
2,102,0.078779
2,103,0.078149
2,104,0.047233
2,105,0.048518
2,106,0.02963
2,107,0.047329
2,108,0.031241
2,109,0.052597
2,110,0.055071
2,111,0.03967
2,112,0.046862
2,113,0.050666
2,114,0.04531
2,115,0.043953
2,116,0.088564
2,117,0.075901
2,118,0.039042
2,119,0.042533
2,120,0.029701
2,121,0.058107
2,122,0.050668
2,123,0.041513
2,124,0
2,125,0.015623
2,126,0
2,127,0.01562
2,128,0.017479
